"","id","fsecurity","fexpend","hhsize","female","kids","elderly","black","hispanic","education","employed","married","disability","weight"
"547",20191202379700,0,40,2,1,0,2,0,0,0,1,2,1,4104.4102
"548",20191202380100,0,35,2,1,0,2,0,0,0,1,2,0,4488.4532
"549",20191202380700,0,40,1,0,0,1,0,0,0,0,0,1,2027.531
"550",20191202381300,0,40,6,3,2,0,0,0,3,2,2,0,14114.1204
"551",20191202381500,0,25,2,1,0,0,0,0,2,2,2,0,4453.4094
"552",20191202382300,4,45,6,4,5,0,0,0,0,1,0,0,12093.0636
"553",20191202382800,NA,NA,4,2,2,0,0,0,1,2,2,0,8906.8188
"554",20191202384000,0,70,2,1,0,1,0,0,0,1,2,0,4371.9934
"555",20191202385300,NA,NA,2,1,0,0,0,0,0,0,0,1,4503.5776
"556",20191202387200,NA,NA,2,1,0,0,0,0,0,1,2,0,4487.6582
"557",20191202391700,NA,NA,1,1,0,1,0,0,0,0,0,0,3969.1494
"558",20191202392200,NA,NA,2,1,0,2,0,0,0,0,2,1,4488.4532
"559",20191202393000,NA,NA,2,1,0,0,0,0,2,2,2,0,4672.3122
"560",20191202393900,NA,NA,1,0,0,0,0,0,1,1,0,1,2237.8615
"561",20191202394400,4,60,1,0,0,0,0,0,0,1,0,0,2094.4353
"562",20191202395100,0,40,3,2,1,0,0,0,2,1,2,0,7144.8435
"563",20191202397900,NA,NA,1,0,0,1,0,0,0,0,0,0,2155.2461
"564",20191202399300,1,120,1,0,0,0,0,0,0,0,0,1,4736.8058
"565",20191202399700,NA,NA,1,1,0,0,0,0,0,2,0,0,4473.2494
"566",20191202400900,0,80,1,1,0,0,0,0,1,1,0,0,2467.2909
"567",20191202401200,0,150,1,2,0,0,0,0,2,2,0,0,4292.8428
"568",20191202401600,0,60,1,0,0,1,0,0,1,0,0,0,2255.6981
"569",20191202402300,NA,NA,1,1,0,0,0,0,1,1,0,0,2145.235
"570",20191202402400,0,0,1,0,0,0,0,0,1,0,0,0,2254.1059
"571",20191202403000,0,45,4,3,2,0,0,0,2,1,2,0,7809.3672
"572",20191202404700,NA,NA,4,2,2,0,0,0,2,2,2,0,9613.0808
"573",20191202405300,4,150,1,0,0,0,0,0,0,1,0,0,9473.6116
"574",20191202406500,5,73.3333333333333,3,1,0,2,0,0,2,1,2,1,6407.523
"575",20191202407600,NA,NA,2,1,0,0,0,0,0,2,2,0,4584.7938
"576",20191202408400,0,100,1,2,0,0,1,0,0,2,0,0,4629.8136
"577",20191202409000,0,100,1,1,0,0,1,0,1,1,0,1,3632.3984
"578",20191202411400,3,70,1,1,0,0,0,0,1,1,0,0,2145.235
"579",20191202412900,0,140,1.5,0,0,0,0,0,1,2,0,0,9473.6116
"580",20191202413200,NA,NA,1,0,0,0,0,0,0,1,0,0,2368.4029
"581",20191202413800,3,50,1,1,0,1,0,0,1,0,0,1,2233.3127
"582",20191202415700,0,62.5,4,2,2,0,0,0,2,2,2,0,10061.1284
"583",20191202416000,0,70,1,0,0,0,0,0,0,1,0,0,2236.6247
"584",20191202416700,0,80,1,0,0,0,1,0,0,1,0,0,3858.7629
"585",20191202416900,0,175,2,1,0,0,0,0,0,0,1,0,4736.8058
"586",20191202418300,0,70,2,1,0,0,0,0,2,2,2,0,4549.8036
"587",20191202418500,NA,NA,2,1,0,2,0,0,0,0,2,1,4585.606
"588",20191202419300,0,90,2,1,0,0,0,0,2,1,2,0,4669.7298
